"Date","forecast_US_covid","forecast_US_economic","forecast_US_health","forecast_US_response","forecast_US_stringency"
2021-07-12,34231.9928958666,62.8280240803509,81.3600052804576,79.0423443839658,68.1707087844562
2021-07-13,34959.7338451844,63.3030037536808,81.7649982035541,79.4560819321212,68.6525024169522
2021-07-14,35687.3036636878,63.7765986333846,82.1647322328752,79.8650454830326,69.1282887950234
2021-07-15,36414.3826456691,64.2484569700285,82.5591318649635,80.2691249523474,69.5979436389266
2021-07-16,37140.6518163062,64.7182461876921,82.948130473463,80.6682204238898,70.0613549113777
2021-07-17,37865.7938678379,65.1856522805212,83.3316699391302,81.0622417501176,70.5184223210783
2021-07-18,38589.4940256063,65.6503792179915,83.7097002885772,81.4511081613449,70.9690568379722
2021-07-19,39311.4408466075,66.1121483592837,84.0821793418023,81.8347478838277,71.413180220281
2021-07-20,40031.3269532294,66.5706978771206,84.449072368543,82.2130977667831,71.8507245533392
2021-07-21,40748.8497048733,67.0257821913718,84.8103517534647,82.5861029183865,72.2816318002249
2021-07-22,41463.7118101796,67.4771714126977,85.1659966701771,82.953716350773,72.705853364159
2021-07-23,42175.6218825516,67.9246507964572,85.5159927640542,83.3158986340474,73.1233496626265
2021-07-24,42884.2949416395,68.3680202070803,85.8603318438193,83.6726175592898,73.5340897131526
2021-07-25,43589.4528634273,68.807093593066,86.1990115818396,84.023847810529,73.9380507306524
2021-07-26,44290.8247815169,69.2416984727395,86.5320352230641,84.3695706456381,74.3352177362558
2021-07-27,44988.1474421424,69.6716754308756,86.8594113025254,84.7097735860966,74.7255831774954
2021-07-28,45681.1655153892,70.096877626269,87.1811533713186,85.0444501155504,75.1091465597354
2021-07-29,46369.6318650511,70.5171703103061,87.497279730956,85.3735993870873,75.4859140887044
2021-07-30,47053.3077794354,70.9324303565774,87.8078131759962,85.6972259391424,75.855898323991
2021-07-31,47731.9631654337,71.3425458015405,88.1127807448292,86.01533941993,76.2191178433455
2021-08-01,48405.3767080184,71.7474153962327,88.4122134785011,86.3279543203004,76.5755969176297
2021-08-02,49073.3359973167,72.146948169011,88.706146187451,86.6350897149045,76.9253651962455
2021-08-03,49735.6376252967,72.54106299928,88.9946172260307,86.9367690115485,77.2684574028694
2021-08-04,50392.0872540342,72.929688202159,89.2776682746711,87.2330197086137,77.6049130413143
2021-08-05,51042.4996574719,73.3127611240181,89.555344129558,87.5238731604088,77.9347761113342
2021-08-06,51686.6987384549,73.6902277488091,89.827692499675,87.8093643503251,78.258094834188
2021-08-07,52324.5175228193,74.062042315098,90.0947638110686,88.0895316716507,78.5749213877679
