"Date","forecast_Sing_covid","forecast_Sing_covid_low_80","forecast_Sing_covid_high_80","forecast_Sing_covid_low_95","forecast_Sing_covid_high_95"
2021-06-29,138.119774176011,-71.3993670579563,347.638915409979,-182.312100694221,458.551649046243
2021-06-30,137.655527999156,-73.1954942106359,348.506550208948,-184.813283046329,460.124339044641
2021-07-01,137.134339372442,-74.9941700579527,349.262848802838,-187.288219778393,461.556898523278
2021-07-02,136.559831566156,-76.7942946665013,349.913957798813,-189.737146730865,462.856809863177
2021-07-03,135.935447132237,-78.5947913863542,350.465685650827,-192.160239686689,464.031133951162
2021-07-04,135.264459490697,-80.3946092050991,350.923528186493,-194.55762410497,465.086543086364
2021-07-05,134.549983049378,-82.1927250962694,351.292691195025,-196.929384069666,466.029350168422
2021-07-06,133.794982212031,-83.9881461569066,351.578110580968,-199.275570327297,466.865534751358
2021-07-07,133.00227952072,-85.7799114306294,351.784470472069,-201.596207385413,467.600766426853
2021-07-08,132.174563104577,-87.5670933755598,351.916219584714,-203.891299700732,468.240425909886
2021-07-09,131.314393557162,-89.3487989738974,351.977586088222,-206.160837016736,468.789624131061
2021-07-10,130.424210330472,-91.1241705017687,351.972591162714,-208.404798925843,469.253219586788
2021-07-11,129.506337710643,-92.8923859889486,351.905061410235,-210.62315873583,469.635834157116
2021-07-12,128.562990424465,-94.6526594030617,351.778640251992,-212.815886719461,469.941867568391
2021-07-13,127.596278913587,-96.4042405951536,351.596798422328,-214.982952823237,470.175510650412
2021-07-14,126.608214307936,-98.1464150399616,351.362843655833,-217.124328902942,470.340757518814
2021-07-15,125.600713121837,-99.878503404396,351.079929648071,-219.239990549673,470.441416793348
2021-07-16,124.575601693975,-101.599860973205,350.751064361154,-221.329918561837,470.481121949786
2021-07-17,123.534620389293,-103.30987695773,350.379117736315,-223.394100112343,470.463340890928
2021-07-18,122.479427577811,-105.007973711555,349.966828867176,-225.432529655291,470.391384810912
2021-07-19,121.411603404975,-106.693605872457,349.516812682407,-227.445209609608,470.268416419557
2021-07-20,120.332653365834,-108.366259448514,349.031566180182,-229.432150853421,470.097457585089
2021-07-21,119.244011694913,-110.025450862963,348.513474252788,-231.393373057789,469.881396447614
2021-07-22,118.147044582356,-111.670725970705,347.964815135417,-233.328904885097,469.622994049808
2021-07-23,117.043053225906,-113.301659057658,347.38776550947,-235.238784074315,469.324890526127
2021-07-24,115.93327672909,-114.917851830936,346.784405289117,-237.123057430825,468.989610889006
2021-07-25,114.818894853137,-116.518932408675,346.156722114949,-238.981780738266,468.61957044454
2021-07-26,113.701030631112,-118.104554315513,345.506615577737,-240.815018606092,468.217079868316
2021-07-27,112.580752852173,-119.674395488707,344.835901193053,-242.622844264645,467.784349968991
2021-07-28,111.459078422956,-121.228157299386,344.146314145298,-244.405339318337,467.323496164249
2021-07-29,110.336974612653,-122.765563592649,343.439512817954,-246.162593466072,466.836542691377
2021-07-30,109.215361188758,-124.286359748653,342.717082126169,-247.894704195904,466.325426573419
2021-07-31,108.095112448367,-125.79031176803,341.980536664764,-249.601776461607,465.792001358341
2021-08-01,106.977059151882,-127.277205382133,341.231323685897,-251.283922345557,465.23804064932
2021-08-02,105.861990363955,-128.746845189811,340.470825917722,-252.941260713076,464.665241440987
2021-08-03,104.750655206391,-130.199053821948,339.700364234729,-254.573916862639,464.07522727542
2021-08-04,103.643764528501,-131.633671133538,338.921200190541,-256.18202217449,463.469551231493
2021-08-05,102.54199249824,-133.050553424781,338.13453842126,-257.765713761707,462.849698758186
2021-08-06,101.445978119678,-134.449572689891,337.341528929247,-259.325134124657,462.217090364013
2021-08-07,100.356326679875,-135.830615894485,336.543269254236,-260.86043081178,461.573084171531
2021-08-08,99.2736111290306,-137.193584281125,335.740806539186,-262.371756088126,460.918978346187
2021-08-09,98.1983733978341,-138.53839270226,334.935139497928,-263.859266612531,460.256013408199
2021-08-10,97.1311256549278,-139.864968980516,334.127220290372,-265.323123124928,459.585374434784
2021-08-11,96.0723515081385,-141.173253295245,333.317956311522,-266.76349014405,458.908193160327
2021-08-12,95.0225071516517,-142.463197595493,332.508211898797,-268.180535676919,458.225549980222
2021-08-13,93.9820224629457,-143.734765037697,331.698809963588,-269.574430939557,457.538475865449
2021-08-14,92.9513020510269,-144.987929448464,330.890533550518,-270.945350090288,456.847954192342
2021-08-15,91.9307262595973,-146.222674810563,330.084127329757,-272.29346997466,456.154922493855
2021-08-16,90.9206521268347,-147.438994772,329.28029902567,-273.618969882735,455.460274136404
2021-08-17,89.9214143036664,-148.636892177762,328.479720785095,-274.922031319041,454.764859926374
2021-08-18,88.933325933896,-149.816378622132,327.683030489924,-276.202837783823,454.069489651615
2021-08-19,87.9566794965448,-150.977474022428,326.890833015517,-277.461574567031,453.374933560121
2021-08-20,86.9917476139914,-152.12020621164,326.103701439623,-278.69842855312,452.681923781103
2021-08-21,86.0387838259734,-153.244610550889,325.322178202835,-279.913588038085,451.991155690031
2021-08-22,85.0980233325856,-154.350729559454,324.546776224625,-281.107242556963,451.303289222134
2021-08-23,84.1696837069457,-155.43861256253,323.777979976422,-282.279582722382,450.618950136274
2021-08-24,83.2539655791026,-156.508315355845,323.01624651405,-283.430800073675,449.93873123188
2021-08-25,82.3510532931332,-157.559899885896,322.262006472162,-284.561086935693,449.263193521959
2021-08-26,81.461115538075,-158.593433945763,321.515665021914,-285.670636287589,448.592867363739
2021-08-27,80.5843059546733,-159.608990885072,320.777602794418,-286.75964164043,447.928253549777
2021-08-28,79.7207637183152,-160.606649334242,320.048176770872,-287.828296924068,447.269824360698
2021-08-29,78.8706140997761,-161.586492941902,319.327721141454,-288.876796382381,446.618024581933
2021-08-30,78.0339690048761,-162.548610124736,318.616548134488,-289.905334476382,445.973272486135
2021-08-31,77.2109274936291,-163.493093829624,317.914948816883,-290.914105795263,445.335960782521
2021-09-01,76.4015762805668,-164.420041306727,317.22319386786,-291.903304974206,444.70645753534
2021-09-02,75.605990216198,-165.329553893874,316.54153432627,-292.873126619517,444.085107051912
2021-09-03,74.8242327509841,-166.221736811196,315.870202313164,-293.823765240143,443.472230742111
2021-09-04,74.0563563827843,-167.09669896531,315.209411730879,-294.755415185068,442.868127950637
2021-09-05,73.3024030880104,-167.954552763056,314.559358939077,-295.668270586691,442.273076762712
2021-09-06,72.5624047378682,-168.795413933667,313.920223409404,-296.562525309198,441.687334784934
