"Date","forecast_US_health","forecast_US_health_low_80","forecast_US_health_high_80","forecast_US_health_low_95","forecast_US_health_high_95"
2021-07-04,77.9430392107547,68.8992615841096,86.9868168373998,64.1117748988259,91.7743035226835
2021-07-05,78.3861910936024,69.1985342038299,87.5738479833748,64.3348824374322,92.4374997497725
2021-07-06,78.8250548703535,69.4984817239288,88.1516280167782,64.5612921333443,93.0888176073627
2021-07-07,79.2594696958475,69.7988416777118,88.7200977139832,64.7906877246775,93.7282516670176
2021-07-08,79.6892868593459,70.0993575637908,89.279216154901,65.0227556491202,94.3558180695717
2021-07-09,80.1143693505384,70.3997790851862,89.8289596158905,65.2571856393528,94.971553061724
2021-07-10,80.5345914326173,70.6998623632088,90.3693205020257,65.4936712761518,95.5755115890828
2021-07-11,80.9498382227788,70.9993701268462,90.9003063187114,65.7319105001007,96.167765945457
2021-07-12,81.3600052804576,71.2980718786248,91.4219386822903,65.9716060832296,96.7484044776855
2021-07-13,81.7649982035541,71.5957440380697,91.9342523690386,66.2124660621623,97.317530344946
2021-07-14,82.1647322328752,71.8921700639696,92.4372944017807,66.4542041345013,97.8752603312491
2021-07-15,82.5591318649635,72.1871405566887,92.9311231732383,66.6965400202551,98.421723709672
2021-07-16,82.948130473463,72.4804533417636,93.4158076051624,66.9391997901269,98.957061156799
2021-07-17,83.3316699391302,72.7719135360028,93.8914263422576,67.1819161624644,99.4814237157961
2021-07-18,83.7097002885772,73.0613335972559,94.3580669798986,67.4244287706131,99.9949718065413
2021-07-19,84.0821793418023,73.3485333589685,94.815825324636,67.6664844023504,100.497874281254
2021-07-20,84.449072368543,73.6333400505731,95.2648046865129,67.9078372129849,100.990307524101
2021-07-21,84.8103517534647,73.9155883046979,95.7051152022316,68.1482489136214,101.472454593308
2021-07-22,85.1659966701771,74.195120152108,96.1368731882462,68.3874889359885,101.944504404366
2021-07-23,85.5159927640542,74.4717850052205,96.5602005228878,68.6253345751322,102.406650952976
2021-07-24,85.8603318438193,74.7454396309706,96.9752240566679,68.861571111183,102.859092576456
2021-07-25,86.1990115818396,75.0159481137359,97.3820750499433,69.0959919113088,103.30203125237
2021-07-26,86.5320352230641,75.2831818089679,97.7808886371604,69.3283985128784,103.73567193325
2021-07-27,86.8594113025254,75.5470192881149,98.171803316936,69.5586006887744,104.160221916276
2021-07-28,87.1811533713186,75.807346275373,98.5549604672642,69.7864164957203,104.575890246917
2021-07-29,87.497279730956,76.0640555767424,98.9305038851696,70.0116723064047,104.982887155507
2021-07-30,87.8078131759962,76.3170470018299,99.2985793501624,70.2342028261338,105.381423525859
2021-07-31,88.1127807448292,76.5662272787884,99.65933421087,70.453851094668,105.77171039499
2021-08-01,88.4122134785011,76.8115099627527,100.012916994249,70.6704684738576,106.153958483144
2021-08-02,88.706146187451,77.0528153380971,100.359477036805,70.8839146216402,106.528377753262
2021-08-03,88.9946172260307,77.2900703148111,100.69916413725,71.0940574529237,106.895176999138
2021-08-04,89.2776682746711,77.5232083192695,101.032128230073,71.3007730878471,107.254563461495
2021-08-05,89.555344129558,77.7521691796486,101.358519079467,71.503945787879,107.606742471237
2021-08-06,89.827692499675,77.9768990062323,101.678485993118,71.7034678802008,107.951917119149
2021-08-07,90.0947638110686,78.1973500668326,101.992177555305,71.8992396707933,108.290287951344
2021-08-08,90.3566110181915,78.4134806575479,102.299741378835,72.0911693466494,108.622052689734
2021-08-09,90.6132894221713,78.6252549690727,102.60132387527,72.2791728675138,108.947405976829
2021-08-10,90.8648564958602,78.8326429487756,102.897070042945,72.4631738475626,109.266539144158
2021-08-11,91.1113717155116,79.0356201587589,103.187123272264,72.6431034274299,109.579640003593
2021-08-12,91.352896398934,79.2341676301196,103.471625167748,72.818900136995,109.886892660873
2021-08-13,91.5894935499696,79.4282717136365,103.750715386303,72.9905097493561,110.188477350583
2021-08-14,91.8212277091477,79.617923927114,104.024531491181,73.1578851264219,110.484570291874
2021-08-15,92.0481648103592,79.8031207996231,104.293208821095,73.3209860565712,110.775343564147
2021-08-16,92.2703720434036,79.9838637128887,104.556880373919,73.4797790848384,111.060965001969
2021-08-17,92.4879177222578,80.1601587400827,104.815676704433,73.6342373361037,111.341598108412
2021-08-18,92.7008711589148,80.3320164822912,105.069725835538,73.7843403317762,111.617401986053
2021-08-19,92.9093025426486,80.499451902937,105.31915318236,73.9300738004793,111.888531284818
2021-08-20,93.1132828245541,80.6624841604458,105.564081488663,74.0714294832556,112.155136165853
2021-08-21,93.3128836072177,80.8211364394539,105.804630774982,74.2084049338271,112.417362280608
2021-08-22,93.5081770393753,80.9754357808664,106.040918297884,74.3410033144553,112.675350764295
2021-08-23,93.6992357154138,81.1254129110771,106.27305851975,74.4692331879575,112.92923824287
2021-08-24,93.8861325795761,81.2711020706722,106.50116308848,74.5931083064415,113.179156852711
2021-08-25,94.068940834731,81.4125408429399,106.725340826522,74.7126473973288,113.425234272133
2021-08-26,94.2477338555675,81.5497699825116,106.945697728623,74.827873947235,113.6675937639
2021-08-27,94.4225851060847,81.6828332444642,107.162336967705,74.938815984284,113.906354227885
2021-08-28,94.593568061239,81.8117772142082,107.37535890827,75.0455058594202,114.141630263058
2021-08-29,94.7607561326193,81.9366511384828,107.584861126756,75.1479800272843,114.373532237954
2021-08-30,94.9242225980237,82.0575067577801,107.790938438267,75.2462788272073,114.60216636884
2021-08-31,95.0840405348081,82.1743981405066,107.99368292911,75.3404462648654,114.827634804751
2021-09-01,95.2402827568844,82.2873815191851,108.193183994584,75.4305297951248,115.050035718644
2021-09-02,95.3930217552484,82.3965151289942,108.389528381502,75.5165801065898,115.269463403907
2021-09-03,95.5423296419132,82.5018590489189,108.582800234908,75.5986509083452,115.486008375481
2021-09-04,95.6882780971367,82.6034750457864,108.773081148487,75.6767987193654,115.699757474908
2021-09-05,95.8309383198244,82.7014264214377,108.960450218211,75.7510826610375,115.910793978611
2021-09-06,95.9703809809992,82.7957778632718,109.144984098727,75.8215642532214,116.119197708777
2021-09-07,96.1066761802236,82.8865952983818,109.326757062065,75.8883072142386,116.325045146209
2021-09-08,96.2398934048727,82.9739457514888,109.505841058257,75.9513772651597,116.528409544586
2021-09-09,96.3701014921494,83.0578972068544,109.682305777444,76.0108419387265,116.729361045572
2021-09-10,96.4973685937396,83.1385184743374,109.856218713142,76.0667703932135,116.927966794266
2021-09-11,96.6217621430105,83.2158790597429,110.027645226278,76.1192332315081,117.124291054513
2021-09-12,96.7433488246501,83.2900490395869,110.196648609713,76.1683023256518,117.318395323648
2021-09-13,96.8621945466565,83.361098940387,110.363290152926,76.2140506470584,117.510338446255
2021-09-14,96.9783644145829,83.429099622564,110.527629206602,76.2565521025918,117.700176726574
2021-09-15,97.0919227079465,83.4941221690254,110.689723246868,76.2958813766567,117.887964039236
2021-09-16,97.2029328587164,83.5562377784806,110.849627938952,76.3321137794265,118.073751938006
2021-09-17,97.3114574317925,83.6155176635209,111.007397200064,76.3653251013037,118.257589762281
2021-09-18,97.4175581073929,83.672032953478,111.163083261308,76.3955914736788,118.439524741107
2021-09-19,97.5212956652673,83.7258546020612,111.316736728473,76.4229892360299,118.619602094505
2021-09-20,97.6227299706607,83.7770532997565,111.468406641565,76.4475948093794,118.797865131942
2021-09-21,97.7219199619481,83.8256993909547,111.618140532941,76.469484576098,118.974355347798
2021-09-22,97.8189236398657,83.8718627957632,111.765984483968,76.4887347660272,119.149112513704
2021-09-23,97.9137980582694,83.9156129364446,111.911983180094,76.5054213488687,119.32217476767
2021-09-24,98.0065993163465,83.95701866841,112.056179964283,76.5196199327704,119.493578699923
2021-09-25,98.0973825522166,83.9961482156864,112.198616888747,76.5314056690204,119.663359435413
2021-09-26,98.1862019378509,84.0330691107672,112.339334764935,76.5408531627452,119.831550712956
2021-09-27,98.2731106752517,84.0678481387466,112.478373211757,76.5480363894935,119.99818496101
2021-09-28,98.358160993826,84.10055128563,112.615770702022,76.5530286175741,120.163293370078
2021-09-29,98.4414041488947,84.1312436907062,112.751564607083,76.5559023360045,120.326905961785
2021-09-30,98.5228904212804,84.1599896028615,112.885791239699,76.5567291879171,120.489051654644
2021-10-01,98.6026691179147,84.1868523407096,113.01848589512,76.555579909262,120.649758326567
2021-10-02,98.6807885734144,84.2118942564088,113.14968289042,76.552524272636,120.809052874193
2021-10-03,98.7572961525723,84.2351767030364,113.279415602108,76.5476310360668,120.966961269078
2021-10-04,98.8322382537115,84.256760005381,113.407716502042,76.5409678965684,121.123508610855
2021-10-05,98.9056603128552,84.2767034340201,113.53461719169,76.5326014482891,121.278719177421
2021-10-06,98.9776068086643,84.2950651825439,113.660148434785,76.5225971450639,121.432616472265
2021-10-07,99.0481212680974,84.3119023477873,113.784340188407,76.5110192671866,121.585223269008
2021-10-08,99.1172462727497,84.3272709129347,113.907221632565,76.4979308922143,121.736561653285
2021-10-09,99.1850234658283,84.3412257333581,114.028821198298,76.4833938696166,121.88665306204
2021-10-10,99.2514935597211,84.3538205250539,114.149166594388,76.4674687990841,122.035518320358
2021-10-11,99.3166963441242,84.3651078555456,114.268284832703,76.450215012314,122.183177675934
2021-10-12,99.380670694686,84.3751391371201,114.386202252252,76.4316905580886,122.329650831283
2021-10-13,99.4434545821332,84.3839646222671,114.502944541999,76.41195219047,122.474956973796
2021-10-14,99.5050850818449,84.3916334011972,114.618536762493,76.3910553599368,122.619114803753
2021-10-15,99.5655983838393,84.3981934013146,114.733003366364,76.3690542072895,122.762142560389
2021-10-16,99.625029803142,84.4036913885223,114.846368217762,76.34600156016,122.904058046124
2021-10-17,99.6834137905038,84.4081729702456,114.958654610762,76.3219489319599,123.044878649048
2021-10-18,99.7407839434402,84.4116826000592,115.069885286821,76.2969465231146,123.184621363766
2021-10-19,99.797173017562,84.4142635838079,115.180082451316,76.2710432244257,123.323302810698
2021-10-20,99.8526129381706,84.4159580871167,115.289267789224,76.2442866224176,123.460939253923
2021-10-21,99.9071348120933,84.4168071441873,115.397462479999,76.2167230065267,123.59754661766
2021-10-22,99.9607689397312,84.4168506677825,115.50468721168,76.188397377993,123.733140501469
2021-10-23,100.013544827298,84.4161274603075,115.610962194288,76.1593534603282,123.867736194267
2021-10-24,100.065491199223,84.4146752258924,115.716307172553,76.1296337112283,124.001348687218
2021-10-25,100.116636010705,84.4125305833955,115.820741438015,76.0992793358161,124.133992685595
2021-10-26,100.167006460387,84.409729080242,115.924283840531,76.0683303010962,124.265682619677
2021-10-27,100.21662900313,84.4063052070198,116.026952799241,76.0368253515114,124.396432654749
2021-10-28,100.265529362889,84.4022924127576,116.128766313021,76.0048020254991,124.52625670028
2021-10-29,100.313732545638,84.3977231208166,116.229741970459,75.9722966729476,124.655168418328
2021-10-30,100.361262852355,84.3926287453242,116.329896959387,75.9393444734574,124.783181231254
2021-10-31,100.408143892048,84.3870397080904,116.429248076005,75.9059794553195,124.910308328776
2021-11-01,100.454398594783,84.3809854559436,116.527811733621,75.8722345151267,125.036562674438
2021-11-02,100.500049224733,84.374494478429,116.625603971038,75.838141437937,125.16195701153
2021-11-03,100.545117393212,84.3675943258171,116.722640460607,75.8037309179157,125.286503868509
2021-11-04,100.589624071681,84.3603116273714,116.81893651599,75.7690325793856,125.410215563976
2021-11-05,100.633589604727,84.3526721098265,116.914507099627,75.7340749982176,125.533104211236
2021-11-06,100.677033722993,84.3447006160329,117.009366829953,75.6988857235016,125.655181722485
2021-11-07,100.719975556051,84.3364211237267,117.103529988375,75.6634912994371,125.776459812665
2021-11-08,100.762433645204,84.3278567643852,117.197010526023,75.6279172873925,125.896950003016
2021-11-09,100.804425956216,84.3190298421307,117.289822070301,75.592188288079,126.016663624352
2021-11-10,100.845969891948,84.30996185265,117.381977931247,75.5563279637933,126.135611820104
2021-11-11,100.887082304911,84.300673502097,117.473491107725,75.5203590606857,126.253805549136
2021-11-12,100.927779509699,84.291184725949,117.564374293449,75.4843034310128,126.371255588385
2021-11-13,100.968077295327,84.2815147077901,117.654639882865,75.4481820553349,126.48797253532
2021-11-14,101.007990937443,84.2716818979953,117.744299976891,75.4120150646266,126.60396681026
2021-11-15,101.047535210415,84.2617040322934,117.833366388537,75.3758217622659,126.719248658564
2021-11-16,101.086724399295,84.2515981501871,117.921850648402,75.339620645874,126.833828152715
2021-11-17,101.125572311638,84.2413806132097,118.009764010067,75.3034294289775,126.947715194299
2021-11-18,101.164092289194,84.2310671230024,118.097117455385,75.2672650624703,127.060919515917
2021-11-19,101.202297219435,84.2206727391929,118.183921699677,75.2311437558488,127.173450683021
