"Date","forecast_US_stringency","forecast_US_stringency_low_80","forecast_US_stringency_high_80","forecast_US_stringency_low_95","forecast_US_stringency_high_95"
2021-07-29,75.4859140887044,58.8388123718957,92.1330158055131,50.0263690425754,100.945459134833
2021-07-30,75.855898323991,59.1367522451028,92.5750444028792,50.2861709342393,101.425625713743
2021-07-31,76.2191178433455,59.4315193563092,93.0067163303818,50.5447015294549,101.893534157236
2021-08-01,76.5755969176297,59.7229858970537,93.4282079382056,50.8017525138306,102.349441321429
2021-08-02,76.9253651962455,60.011031995684,93.839698396807,51.0571248640489,102.793605528442
2021-08-03,77.2684574028694,60.295545565555,94.2413692401839,51.3106287767749,103.226286028964
2021-08-04,77.6049130413143,60.5764221486533,94.6334039339752,51.5620835852082,103.64774249742
2021-08-05,77.9347761113342,60.8535647551527,95.0159874675157,51.8113176641468,104.058234558522
2021-08-06,78.258094834188,61.1268836993722,95.3893059690038,52.0581683243858,104.45802134399
2021-08-07,78.5749213877679,61.3962964325725,95.7535463429632,52.3024816972152,104.847361078321
2021-08-08,78.8853116511043,61.6617273729986,96.1088959292099,52.5441126097439,105.226510692465
2021-08-09,79.1893249580484,61.9231077335435,96.4555421825532,52.7829244517264,105.59572546437
2021-08-10,79.48702385994,62.1803753473891,96.7936723724909,53.01878903454,105.95525868534
2021-08-11,79.7784738970605,62.4334744919503,97.1234733021707,53.2515864429157,106.305361351205
2021-08-12,80.0637433786737,62.6823557114308,97.4451310459167,53.48120488,106.646281877347
2021-08-13,80.3429031714568,62.9269756382791,97.7588307046345,53.7075405062938,106.97826583662
2021-08-14,80.6160264961211,63.1672968138154,98.0647561784268,53.9304972729866,107.301555719256
2021-08-15,80.8831887320273,63.4032875082857,98.3630899557689,54.1499867501842,107.61639071387
2021-08-16,81.1444672295952,63.6349215405841,98.6540129186062,54.3659279505014,107.923006508689
2021-08-17,81.3999411303128,63.8621780978719,98.9377041627536,54.5782471484752,108.22163511215
2021-08-18,81.6496911941485,64.0850415553119,99.2143408329851,54.7868776962346,108.512504692062
2021-08-19,81.8937996341732,64.3035012961257,99.4840979722208,54.9917598358471,108.795839432499
2021-08-20,82.1323499581995,64.5175515321718,99.7471483842271,55.1928405087489,109.07185940765
2021-08-21,82.3654268172459,64.7271911252358,100.003662509256,55.3900731626484,109.340780471843
2021-08-22,82.5931158606402,64.9324234092154,100.253808312065,55.5834175562871,109.602814164993
2021-08-23,82.8155035975727,65.1332560133775,100.497751181768,55.7728395624229,109.858167632723
2021-08-24,83.0326772649166,65.3297006868581,100.735653842975,55.9583109693972,110.107043560436
2021-08-25,83.2447247011329,65.5217731245691,100.967676277697,56.1398092816342,110.349640120632
2021-08-26,83.4517342260785,65.7094927946713,101.193975657486,56.3173175194085,110.586150932749
2021-08-27,83.6537945265456,65.8928827677719,101.414706285319,56.490824018217,110.816765034874
2021-08-28,83.8509945473522,66.0719695479919,101.630019546712,56.6603222280723,111.041666866632
2021-08-29,84.043423387816,66.2467829060519,101.84006386958,56.8258105130329,111.261036262599
2021-08-30,84.2311702034426,66.4173557145165,102.044984692369,56.9872919512741,111.475048455611
2021-08-31,84.4143241126611,66.5837237853329,102.244924439989,57.1447741359964,111.683874089326
2021-09-01,84.5929741084447,66.7459257097957,102.440022507094,57.2982689774572,111.887679239432
2021-09-02,84.7672089746586,66.904002701065,102.630415248252,57.4477925064065,112.086625442911
2021-09-03,84.9371172069749,67.0579984393578,102.816235974592,57.5933646791924,112.280869734757
