"Date","forecast_UK_response","forecast_UK_response_low_80","forecast_UK_response_high_80","forecast_UK_response_low_95","forecast_UK_response_high_95"
2021-07-12,66.0172630548637,56.1189679386814,75.9155581710461,50.8791270190954,81.1553990906321
2021-07-13,65.975759069577,55.9298337979651,76.0216843411889,50.6118421948215,81.3396759443326
2021-07-14,65.934466687491,55.7421892774135,76.1267440975685,50.3467235320262,81.5222098429558
2021-07-15,65.8933836082387,55.5560519820336,76.2307152344439,50.083799172985,81.7029680434925
2021-07-16,65.8525087610004,55.371438203455,76.3335793185457,49.8230946004532,81.8819229215475
2021-07-17,65.8118421694113,55.1883629128863,76.4353214259364,49.5646326984064,82.0590516404163
2021-07-18,65.7713848297125,55.0068397728938,76.5359298865312,49.3084338345588,82.2343358248662
2021-07-19,65.7311386007111,54.8268811636254,76.6353960377968,49.0545159587194,82.4077612427028
2021-07-20,65.6911061042921,54.6484982198899,76.7337139886944,48.8028947121668,82.5793174964175
2021-07-21,65.6512906353661,54.471700876171,76.8308803945611,48.5535835441624,82.7489977265697
2021-07-22,65.611696080275,54.2964979172068,76.9268942433433,48.3065938324984,82.9167983280516
2021-07-23,65.5723268427725,54.1228970322021,77.0217566533429,48.0619350055927,83.0827186799523
2021-07-24,65.5331877768268,53.9509048711602,77.1154706824933,47.8196146642119,83.2467608894416
2021-07-25,65.4942841255477,53.7805271020886,77.2080411490067,47.5796387012908,83.4089295498045
2021-07-26,65.4556214656413,53.6117684681269,77.2994744631557,47.3420114187054,83.5692315125771
2021-07-27,65.4172056568488,53.4446328438391,77.3897784698586,47.1067356401307,83.7276756735669
2021-07-28,65.3790427958961,53.2791232901031,77.4789623016891,46.8738128193637,83.8842727724285
2021-07-29,65.3411391745262,53.1152421071624,77.5670362418901,46.6432431436754,84.0390352053771
2021-07-30,65.3035012412313,52.9529908855257,77.6540115969368,46.4150256319138,84.1919768505487
2021-07-31,65.2661355663537,52.7923705545065,77.7399005782008,46.1891582272118,84.3431129054955
2021-08-01,65.2290488102489,52.6333814282594,77.8247161922385,45.965637884248,84.4924597362499
2021-08-02,65.1922476942316,52.4760232492297,77.9084721392334,45.7444606510779,84.6400347373852
2021-08-03,65.1557389740778,52.3202952290063,77.9911827191494,45.5256217456388,84.7858562025169
2021-08-04,65.1195294158481,52.1661960865731,78.0728627451232,45.3091156270494,84.9299432046469
2021-08-05,65.0836257738505,52.0137240840196,78.1535274636813,45.0949360618905,85.0723154858104
2021-08-06,65.0480347705468,51.8628770597568,78.2331924813368,44.8830761856402,85.2129933554533
2021-08-07,65.0127630782677,51.7136524593479,78.3118736971875,44.6735285595066,85.3519975970287
2021-08-08,64.9778173025661,51.5660473640292,78.389587241103,44.4662852228572,85.489349382275
2021-08-09,64.9432039671007,51.4200585170459,78.4663494171556,44.2613377414988,85.6250701927027
2021-08-10,64.9089294999094,51.2756823478962,78.5421766519227,44.0586772520226,85.7591817477963
2021-08-11,64.8750002209845,51.1329149946199,78.6170854473491,43.8582945024684,85.8917059395007
2021-08-12,64.8414223310385,50.9917523242328,78.6910923378442,43.6601798895232,86.0226647725539
2021-08-13,64.8082019013693,50.8521899514242,78.7642138513145,43.4643234924821,86.1520803102566
2021-08-14,64.7753448647542,50.714223255641,78.8364664738675,43.2707151041964,86.2799746253121
2021-08-15,64.7428570072919,50.5778473966661,78.9078666179177,43.0793442592174,86.4063697553664
2021-08-16,64.7107439611114,50.4430573287874,78.9784305934353,42.8902002593252,86.5312876628976
2021-08-17,64.6790111979057,50.3098478136794,79.048174582132,42.7032721966527,86.6547501991586
2021-08-18,64.647664023219,50.1782134320873,79.1171146143506,42.51854897458,86.7767790718579
2021-08-19,64.6167075714323,50.0481485944058,79.1852665484588,42.3360193265659,86.8973958162987
2021-08-20,64.5861468014065,49.9196475502501,79.2526460525628,42.1556718330938,87.0166217697191
2021-08-21,64.5559864927252,49.792704397094,79.3192685883565,41.9774949368696,87.1344780485808
2021-08-22,64.5262312425085,49.6673130880674,79.3851493969496,41.8014769564358,87.2509855285812
2021-08-23,64.4968854627433,49.5434674389742,79.4503034865123,41.6276060983153,87.3661648271712
2021-08-24,64.4679533781044,49.4211611346103,79.5147456215984,41.4558704678295,87.4800362883793
2021-08-25,64.4394390242295,49.3003877344475,79.5784903140114,41.2862580787027,87.5926199697562
2021-08-26,64.4113462464115,49.1811406777359,79.641551815087,41.1187568615589,87.7039356312641
2021-08-27,64.3836786986875,49.0634132880923,79.7039441092827,40.9533546714205,87.8140027259545
2021-08-28,64.356439843288,48.9471987776196,79.7656809089565,40.7900392943007,87.9228403922753
2021-08-29,64.3296329504201,48.8324902506033,79.8267756502369,40.6287984529715,88.0304674478687
2021-08-30,64.303261098369,48.719280706841,79.8872414898969,40.4696198120011,88.1369023847369
