"Date","forecast_UK_stringency","forecast_UK_stringency_low_80","forecast_UK_stringency_high_80","forecast_UK_stringency_low_95","forecast_UK_stringency_high_95"
2021-06-20,62.0986107560653,53.6331421087913,70.5640794033393,49.1517937047676,75.045427807363
2021-06-21,62.0826097058337,53.3871512288422,70.7780681828252,48.7840535632844,75.381165848383
2021-06-22,62.0670478951396,53.1428445898667,70.9912512004125,48.4186567267239,75.7154390635552
2021-06-23,62.0519027787812,52.9001787930887,71.2036267644737,48.0555487570948,76.0482568004676
2021-06-24,62.0371512008538,52.6591431712383,71.4151592304693,47.6947255982111,76.3795768034965
2021-06-25,62.0227697921578,52.4197512610139,71.6257883233018,47.3362203235732,76.7093192607424
2021-06-26,62.0087352980557,52.1820340612193,71.835436534892,46.9800926520223,77.0373779440891
2021-06-27,61.9950248465136,51.9460347196874,72.0440149733398,46.6264206801973,77.3636290128298
2021-06-28,61.981616164804,51.7118043657266,72.2514279638814,46.2752943940975,77.6879379355105
2021-06-29,61.9684877522155,51.4793988617743,72.4575766426568,45.9268106097372,78.0101648946938
2021-06-30,61.9556190151716,51.248876292617,72.6623617377263,45.5810690617128,78.3301689686304
2021-07-01,61.9429903702949,51.0202950458561,72.8656856947337,45.2381694129683,78.6478113276214
2021-07-02,61.9305833202296,50.7937123655158,73.0674542749434,44.8982090025927,78.9629576378665
2021-07-03,61.9183805063885,50.5691832833121,73.2675777294648,44.5612811834136,79.2754798293633
2021-07-04,61.9063657422306,50.3467598503545,73.4659716341067,44.2274741293705,79.5852573550907
2021-07-05,61.8945240301963,50.1264906068075,73.6625574535851,43.8968700154675,79.892178044925
2021-07-06,61.8828415649879,49.9084202389909,73.857262890985,43.5695444916164,80.1961386383594
2021-07-07,61.8713057255273,49.6925893831157,74.0500220679388,43.2455663867341,80.4970450643204
2021-07-08,61.8599050575945,49.4790345427431,74.2407755724459,42.9249975916974,80.7948125234917
2021-07-09,61.8486292488761,49.2677880934572,74.429470404295,42.6078930796984,81.0893654180538
2021-07-10,61.8374690978938,49.0588783534617,74.6160598423259,42.2943010306608,81.3806371651269
2021-07-11,61.8264164781009,48.8523297030591,74.8005032531428,41.9842630329734,81.6685699232284
2021-07-12,61.8154642982184,48.6481627393859,74.9827658570508,41.6778143411348,81.953114255302
2021-07-13,61.8046064597469,48.44639445561,75.1628184638838,41.3749841723028,82.2342287471911
2021-07-14,61.7938378124389,48.2470384360286,75.3406371888491,41.0757960282437,82.511879596634
2021-07-15,61.7831541084,48.050105060361,75.5162031564391,40.7802680320678,82.7860401847323
2021-07-16,61.7725519553871,47.8556017120118,75.6895021987624,40.4884132714628,83.0566906393113
2021-07-17,61.7620287697749,47.6635329862757,75.8605245532742,40.2002401420144,83.3238173975355
2021-07-18,61.7515827295907,47.4739008954217,76.0292645637598,39.9157526857163,83.5874127734652
2021-07-19,61.7412127279439,47.28670506837,76.1957203875179,39.6349509210035,83.8474745348844
2021-07-20,61.7309183271259,47.1019429432942,76.3598937109576,39.3578311616097,84.1040054926421
2021-07-21,61.7206997136002,46.9196099519803,76.52178947522,39.0843863223464,84.3570131048539
2021-07-22,61.710557654059,46.7396996951577,76.6814156129603,38.8146062105116,84.6065090976063
2021-07-23,61.7004934526985,46.5622041083431,76.838782797054,38.5484778021425,84.8525091032545
2021-07-24,61.6905089098089,46.3871136179552,76.9939042016626,38.2859855026942,85.0950323169236
2021-07-25,61.6806062817761,46.2144172876773,77.146795275875,38.0271113920549,85.3341011714974
2021-07-26,61.6707882425477,46.0441029551611,77.2974735299344,37.7718354540156,85.5697410310798
2021-07-27,61.6610578466098,45.8761573592927,77.445958333927,37.5201357905057,85.8019799027139
2021-07-28,61.6514184934951,45.7105662583101,77.5922707286801,37.2719888210259,86.0308481659643
2021-07-29,61.6418738938352,45.5473145391262,77.7364332485442,37.027369467814,86.2563783198564
2021-07-30,61.6324280369591,45.3863863182512,77.8784697556671,36.7862513273458,86.4786047465725
2021-07-31,61.6230851600206,45.2277650347239,78.0184052853172,36.5486068288029,86.6975634912383
2021-08-01,61.6138497186397,45.0714335354843,78.1562659017951,36.314407380181,86.9132920570984
2021-08-02,61.6047263590384,44.9173741536297,78.2920785644472,36.0836235027227,87.1258292153541
2021-08-03,61.5957198916277,44.7655687799739,78.4258710032814,35.8562249543401,87.3352148289152
2021-08-04,61.5868352660243,44.6159989283487,78.5576716036998,35.6321808427099,87.5414896893386
2021-08-05,61.578077547447,44.4686457950485,78.6875092998454,35.4114597286808,87.7446953662131
2021-08-06,61.5694518944647,44.3234903128368,78.8154134760926,35.1940297206499,87.9448740682795
2021-08-07,61.5609635380386,44.1805131998794,78.9414138761979,34.9798585604929,88.1420685155844
2021-08-08,61.5526177618289,44.0396950039881,79.0655405196698,34.7689137016544,88.3363218220034
2021-08-09,61.5444198837079,43.9010161425139,79.187823624902,34.5611623799457,88.5276773874701
2021-08-10,61.5363752384471,43.7644569382284,79.3082935386657,34.3565716775855,88.7161787993086
