"Date","forecast_UK_health","forecast_UK_health_low_80","forecast_UK_health_high_80","forecast_UK_health_low_95","forecast_UK_health_high_95"
2021-10-29,60.4025148134989,42.7085160851177,78.0965135418802,33.3418789541939,87.4631506728039
2021-10-30,60.4014128567937,42.673109874053,78.1297158395344,33.2883131678086,87.5145125457789
2021-10-31,60.4006136984318,42.6385247826921,78.1627026141716,33.2358428838809,87.5653845129828
2021-11-01,60.4001143731071,42.6047524112936,78.1954763349205,33.1844568258536,87.6157719203606
2021-11-02,60.399911871283,42.5717843449107,78.2280393976552,33.1341437173283,87.6656800252376
2021-11-03,60.4000031413836,42.5396121551909,78.2603941275763,33.0848922836589,87.7151139991084
2021-11-04,60.4003850919454,42.5082274021736,78.2925427817172,33.0366912535615,87.7640789303294
2021-11-05,60.4010545937259,42.4776216360764,78.3244875513755,32.98952936073,87.8125798267219
2021-11-06,60.4020084817671,42.4477863990703,78.3562305644638,32.9433953454588,87.8606216180753
2021-11-07,60.4032435574232,42.4187132270501,78.3877738877963,32.8982779562769,87.9082091585696
2021-11-08,60.404756590339,42.3903936513844,78.4191195292937,32.8541659515768,87.9553472291013
2021-11-09,60.4065443203893,42.3628192006567,78.4502694401218,32.8110481012512,88.0020405395273
2021-11-10,60.4086034595789,42.3359814023951,78.4812255167627,32.768913188332,88.0482937308259
2021-11-11,60.4109306939012,42.3098717847839,78.5119896030185,32.7277500106242,88.0941113771783
2021-11-12,60.4135226851528,42.2844818783603,78.5425634919454,32.6875473823403,88.1394979879654
2021-11-13,60.4163760727133,42.259803217697,78.5729489277296,32.6482941357317,88.1844580096949
2021-11-14,60.4194874752769,42.2358273430613,78.6031476074925,32.6099791227087,88.2289958278451
2021-11-15,60.4228534925521,42.2125458020624,78.6331611830418,32.5725912164608,88.2731157686434
2021-11-16,60.4264707069173,42.1899501512765,78.6629912625581,32.5361193130651,88.3168221007695
2021-11-17,60.4303356850418,42.1680319578565,78.6926394122271,32.5005523330905,88.3601190369931
2021-11-18,60.4344449794653,42.1467828011174,78.7221071578132,32.4658792231857,88.4030107357449
2021-11-19,60.4387951301392,42.1261942741016,78.7513959861768,32.4320889576579,88.4455013026204
