"Date","forecast_Sing_stringency","forecast_Sing_stringency_low_80","forecast_Sing_stringency_high_80","forecast_Sing_stringency_low_95","forecast_Sing_stringency_high_95"
2021-11-02,50.8831272057667,39.123402125843,62.6428522856904,32.89817970586,68.8680747056734
2021-11-03,50.8711370239673,39.1099673169361,62.6323067309985,32.8839801575568,68.8582938903777
2021-11-04,50.859632968947,39.0970401159267,62.6222258219672,32.8702995885684,68.8489663493256
2021-11-05,50.8486069477384,39.0846118838976,62.6126020115792,32.8571290709689,68.8400848245079
2021-11-06,50.8380508847855,39.0726740375444,62.6034277320267,32.8444597526685,68.8316420169026
2021-11-07,50.8279567249756,39.0612180498821,62.594695400069,32.832282856888,68.8236305930632
2021-11-08,50.8183164365748,39.0502354509519,62.5863974221977,32.8205896816861,68.8160431914635
2021-11-09,50.8091220140654,39.0397178285228,62.5785261996081,32.8093715995311,68.8088724285998
2021-11-10,50.8003654808928,39.0296568287962,62.5710741329895,32.7986200569233,68.8021109048623
2021-11-11,50.7920388921158,39.020044157102,62.5640336271296,32.7883265740576,68.7957512101741
2021-11-12,50.7841343369682,39.0108715785936,62.5573970953427,32.7784827445291,68.7897859294072
2021-11-13,50.7766439413316,39.0021309189376,62.5511569637256,32.7690802350807,68.7842076475826
2021-11-14,50.7695598701194,38.9938140649975,62.5453056752412,32.7601107853847,68.779008954854
2021-11-15,50.7628743295744,38.9859129655106,62.5398356936382,32.7515662078635,68.7741824512853
2021-11-16,50.7565795694839,38.9784196317589,62.534739507209,32.743438387542,68.7697207514258
2021-11-17,50.7506678853091,38.9713261382303,62.530009632388,32.7357192819319,68.7656164886864
2021-11-18,50.7451316202364,38.9646246232735,62.5256386171992,32.7284009209474,68.7618623195254
2021-11-19,50.7399631671453,38.9583072897406,62.52161904455,32.721475406846,68.7584509274447
