"Date","forecast_UK_covid","forecast_UK_economic","forecast_UK_health","forecast_UK_response","forecast_UK_stringency"
2021-07-01,7766.77618346429,93.3623110528929,62.6508107653424,66.4902107933575,61.9429903702949
2021-07-02,7886.04488480683,93.1971959410869,62.6235107547079,66.4456847689644,61.9305833202296
2021-07-03,8002.33133262326,93.0341576477555,62.5963457991941,66.4015348870383,61.9183805063885
2021-07-04,8115.65932339551,92.8731790601089,62.5692829984251,66.3577304480813,61.9063657422306
2021-07-05,8226.05719089465,92.7142450787473,62.5422940634726,66.3142450108303,61.8945240301963
2021-07-06,8333.55712995646,92.5573423021702,62.5153548374317,66.2710559368807,61.8828415649879
2021-07-07,8438.19460466268,92.4024587525407,62.488444867775,66.2281439853274,61.8713057255273
2021-07-08,8540.00783043512,92.2495836374911,62.461547024431,66.1854929515278,61.8599050575945
2021-07-09,8639.03732087043,92.0987071434091,62.4346471582713,66.1430893448186,61.8486292488761
2021-07-10,8735.32549132012,91.9498202562255,62.4077337953621,66.1009221006622,61.8374690978938
2021-07-11,8828.91631213916,91.8029146062128,62.3807978628511,66.0589823232181,61.8264164781009
2021-07-12,8919.85500551068,91.6579823337589,62.3538324429207,66.0172630548637,61.8154642982184
2021-07-13,9008.18778043523,91.5150159734499,62.326832551623,65.975759069577,61.8046064597469
2021-07-14,9093.9616012008,91.3740083541416,62.2997949398258,65.934466687491,61.7938378124389
2021-07-15,9177.22398520198,91.234952512984,62.2727179138153,65.8933836082387,61.7831541084
2021-07-16,9258.02282650512,91.0978416216252,62.2456011733988,65.8525087610004,61.7725519553871
2021-07-17,9336.40624199651,90.9626689230393,62.2184456656062,65.8118421694113,61.7620287697749
2021-07-18,9412.42243735717,90.8294276776244,62.1912534523182,65.7713848297125,61.7515827295907
2021-07-19,9486.11959043142,90.698111117383,62.1640275903391,65.7311386007111,61.7412127279439
2021-07-20,9557.5457498746,90.5687124071484,62.13677202261,65.6911061042921,61.7309183271259
2021-07-21,9626.74874720982,90.4412246119502,62.1094914794062,65.6512906353661,61.7206997136002
2021-07-22,9693.77612068562,90.3156406697313,62.082191388507,65.611696080275,61.710557654059
2021-07-23,9758.6750494636,90.1919533687155,62.0548777934132,65.5723268427725,61.7004934526985
2021-07-24,9821.49229693763,90.0701553288314,62.0275572788384,65.5331877768268,61.6905089098089
2021-07-25,9882.27416203521,89.9502389866551,62.0002369027394,65.4942841255477,61.6806062817761
2021-07-26,9941.06643756781,89.8321965834142,61.9729241342679,65.4556214656413,61.6707882425477
2021-07-27,9997.91437476614,89.7160201556479,61.945626797073,65.4172056568488,61.6610578466098
2021-07-28,10052.8626532657,89.6017015281698,61.9183530174605,65.3790427958961,61.6514184934951
