"Date","forecast_UK_economic","forecast_UK_economic_low_80","forecast_UK_economic_high_80","forecast_UK_economic_low_95","forecast_UK_economic_high_95"
2021-07-12,91.6579823337589,72.8799701011704,110.435994566347,62.9394908843056,120.376473783212
2021-07-13,91.5150159734499,72.5142293693667,110.515802577533,62.4558205238244,120.574211423076
2021-07-14,91.3740083541416,72.153048172814,110.594968535469,61.9780864759053,120.769930232378
2021-07-15,91.234952512984,71.7963534225267,110.673551603441,61.5061806465011,120.963724379467
2021-07-16,91.0978416216252,71.444076914885,110.751606328365,61.040002341888,121.155680901362
2021-07-17,90.9626689230393,71.0961548680205,110.829182978058,60.5794575930693,121.345880253009
2021-07-18,90.8294276776244,70.7525275053823,110.906327849866,60.1244585474291,121.53439680782
2021-07-19,90.698111117383,70.4131386810578,110.983083553708,59.6749229199656,121.7212993148
2021-07-20,90.5687124071484,70.0779355421206,111.059489272176,59.230773497422,121.906651316875
2021-07-21,90.4412246119502,69.7468682238862,111.135581000014,58.7919376894957,122.090511534405
2021-07-22,90.3156406697313,69.4198895744697,111.211391764993,58.3583471220291,122.272934217433
2021-07-23,90.1919533687155,69.0969549054844,111.286951831947,57.9299372677163,122.453969469715
2021-07-24,90.0701553288314,68.7780217661091,111.362288891554,57.5066471104023,122.633663547261
2021-07-25,89.9502389866551,68.4630497380766,111.437428235234,57.0884188395169,122.812059133793
2021-07-26,89.8321965834142,68.1520002494399,111.512392917389,56.6751975716033,122.989195595225
2021-07-27,89.7160201556479,67.8448364051995,111.587203906096,56.266931096231,123.165109215065
2021-07-28,89.6017015281698,67.5415228331191,111.66188022322,55.8635696439148,123.339833412425
2021-07-29,89.4892323090264,67.2420255432299,111.736439074823,55.4650656739154,123.513398944137
2021-07-30,89.3786038861795,66.946311799695,111.810895972664,55.0713736800281,123.685834092331
2021-07-31,89.2698074256794,66.6543500038598,111.885264847499,54.6824500126913,123.857164838668
2021-08-01,89.1628338711229,66.3661095874249,111.959558154821,54.2982527158961,124.02741502635
2021-08-02,89.057673944212,66.081560914808,112.033786973616,53.9187413775644,124.19660651086
2021-08-03,88.9543181462644,65.8006751938547,112.107961098674,53.5438769921949,124.364759300334
2021-08-04,88.8527567605293,65.5234243941351,112.182089126924,53.1736218346816,124.531891686377
2021-08-05,88.7529798551981,65.249781172161,112.256178538235,52.8079393443497,124.698020366046
2021-08-06,88.6549772869951,64.9797188029051,112.330235771085,52.4467940183228,124.863160555667
2021-08-07,88.5587387052684,64.7132111170848,112.404266293452,52.0901513134412,125.027326097096
2021-08-08,88.4642535564904,64.4502324437067,112.478274669274,51.7379775560086,125.190529556972
2021-08-09,88.3715110891079,64.1907575574337,112.552264620782,51.3902398587294,125.352782319486
2021-08-10,88.2805003586725,63.9347616303671,112.626239086978,51.0469060442502,125.514094673095
2021-08-11,88.1912102332063,63.6822201878833,112.700200278529,50.7079445747774,125.674475891635
2021-08-12,88.1036293987521,63.433109068185,112.774149729319,50.3733244872781,125.833934310226
2021-08-13,88.0177463650676,63.1874043852789,112.848088344856,50.0430153338448,125.99247739629
2021-08-14,87.9335494714324,62.9450824950922,112.922016447773,49.716987126801,126.150111816064
2021-08-15,87.8510268925369,62.7061199644927,112.995933820581,49.3952102882045,126.306843496869
2021-08-16,87.7701666444205,62.4704935429735,113.069839745868,49.077655603399,126.462677685442
2021-08-17,87.6909565904457,62.2381801368016,113.14373304409,48.7642941783156,126.617619002576
2021-08-18,87.6133844472822,62.0091567854385,113.217612109126,48.4550974002431,126.771671494321
2021-08-19,87.537437790885,61.7834006400616,113.291474941708,48.150036901815,126.924838679955
2021-08-20,87.463104062453,61.5608889440236,113.365319180882,47.8490845279705,127.077123596936
2021-08-21,87.3903705743535,61.3415990151053,113.439142133602,47.5522123056757,127.228528843031
2021-08-22,87.3192245160037,61.1255082294307,113.512940802577,47.2593924162109,127.379056615797
2021-08-23,87.2496529596978,60.912594006914,113.586711912482,46.9705971698292,127.528708749566
2021-08-24,87.1816428663726,60.7028337981312,113.660451934614,46.6857989826256,127.67748675012
2021-08-25,87.1151810913059,60.4962050725161,113.734157110096,46.4049703554682,127.825391827144
2021-08-26,87.0502543897394,60.2926853077642,113.807823471715,46.1280838548163,127.972424924662
2021-08-27,86.9868494224242,60.0922519803839,113.881446864464,45.8551120953338,128.118586749515
2021-08-28,86.9249527610824,59.8948825572882,113.955022964877,45.5860277241389,128.263877798026
2021-08-29,86.8645508937808,59.7005544883615,114.0285472992,45.3208034065913,128.40829838097
2021-08-30,86.8056302302177,59.5092451999312,114.102015260504,45.0594118135091,128.551848646926
2021-08-31,86.7481771069191,59.3209320890797,114.175422124758,44.8018256097191,128.694528604119
2021-09-01,86.6921777923388,59.1355925187278,114.24876306595,44.5480174438377,128.83633814084
2021-09-02,86.6376184918654,58.9532038134405,114.32203317029,44.2979599392058,128.977277044525
2021-09-03,86.5844853527348,58.7737432559018,114.395227449568,44.0516256858972,129.117345019572
2021-09-04,86.5327644688447,58.59718808401,114.468340853679,43.8089872337272,129.256541703962
2021-09-05,86.4824418854752,58.4235154885469,114.541368282403,43.5700170861895,129.394866684761
2021-09-06,86.4335036039117,58.2527026113801,114.614304596443,43.3346876952589,129.532319512565
2021-09-07,86.3859355859691,58.0847265441533,114.687144627785,43.1029714569944,129.668899714944
2021-09-08,86.3397237584224,57.9195643274378,114.759883189407,42.8748407078952,129.80460680895
2021-09-09,86.2948540173407,57.7571929503059,114.832515084375,42.6502677219542,129.939440312727
2021-09-10,86.2513122323245,57.5975893502944,114.905035114355,42.4292247083592,130.07339975629
2021-09-11,86.2090842506507,57.4407304137271,114.977438087574,42.2116838097922,130.206484691509
2021-09-12,86.1681559013211,57.2865929763707,115.049718826272,41.9976171012886,130.338694701354
2021-09-13,86.1285129990176,57.1351538243975,115.121872173638,41.7869965896167,130.470029408419
2021-09-14,86.0901413479667,56.9863896956327,115.193893000301,41.5797942131385,130.600488482795
2021-09-15,86.0530267457127,56.8402772810604,115.265776210365,41.3759818421164,130.730071649309
2021-09-16,86.0171549867992,56.696793226568,115.33751674703,41.1755312794318,130.858778694167
2021-09-17,85.9825118663617,56.5559141349088,115.409109597815,40.9784142616848,130.986609471039
2021-09-18,85.9490831836319,56.4176165678669,115.480549799397,40.78460246065,131.113563906614
2021-09-19,85.9168547453552,56.2818770486024,115.551832442108,40.5940674850545,131.239642005656
2021-09-20,85.8858123691226,56.1486720641663,115.622952674079,40.4067808826597,131.364843855585
2021-09-21,85.8559418866181,56.0179780681643,115.693905705072,40.2227141426164,131.48916963062
2021-09-22,85.8272291467819,55.8897714835587,115.764686810005,40.0418386980758,131.612619595488
2021-09-23,85.7996600188916,55.7640287055941,115.835291332189,39.8641259290322,131.735194108751
2021-09-24,85.7732203955623,55.6407261048324,115.905714686292,39.6895471653773,131.856893625747
2021-09-25,85.7478961956655,55.5198400302883,115.975952361043,39.5180736901493,131.977718701182
2021-09-26,85.7236733671732,55.4013468126531,116.045999921693,39.3496767429588,132.097669991388
2021-09-27,85.700537889921,55.2852227675972,116.115853012245,39.1843275235763,132.216748256266
2021-09-28,85.6784757782959,55.1714441991382,116.185507357454,39.02199719566,132.334954360932
2021-09-29,85.6574730838503,55.0599874030688,116.254958764632,38.8626568906156,132.452289277085
2021-09-30,85.6375158978424,54.9508286704391,116.324203125246,38.7062777115765,132.568754084108
2021-10-01,85.618590353701,54.8439442910731,116.393236416329,38.5528307374768,132.684349969925
2021-10-02,85.6006826294241,54.7393105571287,116.46205470172,38.4022870272268,132.799078231621
2021-10-03,85.5837789499041,54.6369037666819,116.530654133126,38.2546176239636,132.912940275845
2021-10-04,85.567865589185,54.536700227332,116.599030951038,38.1097935593694,133.025937619001
2021-10-05,85.5529288726524,54.4386762598229,116.667181485482,37.9677858580502,133.138071887255
2021-10-06,85.5389551791563,54.3428082016729,116.73510215664,37.8285655419648,133.249344816348
2021-10-07,85.5259309430694,54.2490724108098,116.802789475329,37.6921036348933,133.359758251245
