"Date","forecast_UK_covid","forecast_UK_covid_low_80","forecast_UK_covid_high_80","forecast_UK_covid_low_95","forecast_UK_covid_high_95"
2021-11-07,10980.6979830213,-4676.05826243774,26637.4542284804,-12964.2443672164,34925.6403332591
2021-11-08,10974.283557138,-4683.65041668648,26632.2175309624,-12972.4599732018,34921.0270874777
2021-11-09,10967.8673028641,-4691.23485972815,26626.9694654563,-12980.6628180223,34916.3974237505
2021-11-10,10961.4525832075,-4698.80861714684,26621.7137835619,-12988.8501329701,34911.7552993852
2021-11-11,10955.042646481,-4706.36880525972,26616.4540982216,-12997.0192273856,34907.1045203476
2021-11-12,10948.6406290574,-4713.91262946448,26611.1938875792,-13005.1674875891,34902.4487457039
2021-11-13,10942.2495580782,-4721.43738258728,26605.9364987436,-13013.2923757873,34897.7914919437
2021-11-14,10935.8723540905,-4728.94044325613,26600.6851514371,-13021.391428982,34893.136137163
2021-11-15,10929.5118336436,-4736.41927427207,26595.4429415592,-13029.4622578533,34888.4859251405
2021-11-16,10923.1707118231,-4743.87142100158,26590.2128446478,-13037.5025456427,34883.8439692889
2021-11-17,10916.8516047398,-4751.29450977549,26584.997719255,-13045.5100470219,34879.2132565014
2021-11-18,10910.557031959,-4758.68624630965,26579.8003102276,-13053.4825869634,34874.5966508814
2021-11-19,10904.2894188822,-4766.04441413824,26574.6232519027,-13061.4180596053,34869.9968973697
