"Date","covid_Sing","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
2021-02-19,14,89.205916841637,-144.897989942748,323.309823626022,-268.825112321463,447.236946004737
2021-02-20,12,88.873633531622,-146.666346582557,324.413613645801,-271.353680261164,449.100947324408
2021-02-21,11,88.5365469798329,-148.382098275111,325.455192234777,-273.799253194063,450.872347153729
2021-02-22,10,88.1952809301649,-150.047218443856,326.437780304185,-276.165179400946,452.555741261276
2021-02-23,4,87.8504325515652,-151.663543522524,327.364408625654,-278.454583586987,454.155448690118
2021-02-24,7,87.5025743001945,-153.232786684765,328.237935285154,-280.670388865172,455.675537465561
2021-02-25,10,87.1522552649965,-154.756550229458,329.061060759451,-282.815336410296,457.119846940289
2021-02-26,13,86.8000021776063,-156.236336672554,329.836341027766,-284.892002957094,458.492007312306
2021-02-27,12,86.4463202062279,-157.673558633466,330.566199045922,-286.90281634042,459.795456752876
2021-02-28,11,86.0916936127747,-159.069547620074,331.252934845623,-288.850069278619,461.033456504169
2021-03-01,12,85.7365863228082,-160.425561823229,331.898734468846,-290.735931595907,462.209104241523
2021-03-02,8,85.3814424433616,-161.742793025123,332.505677911846,-292.562461061915,463.325345948638
2021-03-03,23,85.0266867483162,-163.02237272267,333.075746219302,-294.331613013557,464.384986510189
2021-03-04,19,84.6727251447502,-164.265377556989,333.61082784649,-296.045248905559,465.390699195059
2021-03-05,9,84.3199451288684,-165.472834130472,334.112724388209,-297.70514391889,466.345034176627
2021-03-06,13,83.9687162365817,-166.645723284291,334.583155757454,-299.312993741172,467.250426214335
2021-03-07,13,83.6193904910313,-167.784983901352,335.023764883414,-300.870420619691,468.109201601754
2021-03-08,13,83.2723028482605,-168.891516291569,335.43612198809,-302.378978774661,468.923584471182
2021-03-09,6,82.9277716418374,-169.966185209087,335.821728492762,-303.840159249031,469.695702532705
2021-03-10,10,82.5860990263373,-171.009822545151,336.182020597825,-305.255394261638,470.427592314313
2021-03-11,8,82.247571419132,-172.023229735082,336.518372573346,-306.626061122236,471.1212039605
2021-03-12,10,81.9124599400434,-173.007179912817,336.832099792904,-307.953485759307,471.778405639393
2021-03-13,8,81.581020848153,-173.962419842399,337.124461538705,-309.238945905263,472.400987601569
2021-03-14,17,81.2534959752948,-174.889671652039,337.396663602628,-310.48367397794,472.99066592853
2021-03-15,12,80.9301131551065,-175.789634393783,337.649860703996,-311.688859693026,473.549086003239
2021-03-16,11,80.6110866482402,-176.66298544746,337.88515874394,-312.855652436309,474.07782573279
2021-03-17,9,80.2966175614496,-177.510381788051,338.10361691095,-313.985163423802,474.578398546701
2021-03-18,15,79.9868942619591,-178.332461129976,338.306249653894,-315.07846767113,475.052256195049
2021-03-19,15,79.6820927848616,-179.129842963621,338.494028533344,-316.136605794431,475.500791364155
2021-03-20,17,79.3823772344814,-179.903129494765,338.667883963728,-317.16058565955,475.925340128513
2021-03-21,12,79.0879001790198,-180.652906497807,338.828706855847,-318.151383895847,476.327184253887
2021-03-22,12,78.7988030378837,-181.379744092465,338.977350168233,-319.1099472891,476.707553364867
2021-03-23,13,78.5152164614011,-182.084197452296,339.114630375098,-320.037194066099,477.067626988902
2021-03-24,15,78.2372607036909,-182.766807451427,339.241328858808,-320.934015081126,477.408536488508
2021-03-25,17,77.9650459876381,-183.428101256906,339.358193232183,-321.801274915079,477.731366890355
2021-03-26,12,77.6986728613656,-184.068592872986,339.465938595718,-322.639812896584,478.037158619316
2021-03-27,23,77.43823254806,-184.68878364054,339.56524873666,-323.450444050981,478.326909147101
2021-03-28,12,77.1838072868138,-185.289162698493,339.656777272121,-324.233959986445,478.601574560073
2021-03-29,21,76.935470666169,-185.870207409647,339.741148741985,-324.991129721805,478.862071054143
2021-03-30,26,76.6932879489863,-186.432383755935,339.818959653907,-325.722700462997,479.109276360969
2021-03-31,34,76.4573163900122,-186.976146704965,339.890779484989,-326.429398331766,479.34403111179
2021-04-01,26,76.2276055454444,-187.501940551549,339.957151642437,-327.111929051857,479.567140142746
2021-04-02,43,76.0041975736141,-188.010199237697,340.018594384925,-327.770978597576,479.779373744804
2021-04-03,18,75.7871275294026,-188.501346650868,340.075601709673,-328.407213805782,479.981468864587
2021-04-04,10,75.5764236493266,-188.975796905689,340.128644204342,-329.02128295765,480.174130256304
2021-04-05,17,75.3721076302776,-189.433954608082,340.178169868637,-329.613816330184,480.358031590739
2021-04-06,24,75.1741948995723,-189.876215105926,340.224604905071,-330.185426722514,480.533816521658
2021-04-07,35,74.9826948784003,-190.302964725713,340.268354482514,-330.736709957299,480.7020997141
2021-04-08,21,74.7976112370685,-190.714580998258,340.309803472395,-331.26824536104,480.863467835177
2021-04-09,26,74.6189421434484,-191.111432873351,340.349317160247,-331.780596223876,481.018480510773
2021-04-10,32,74.4466805043379,-191.493880924803,340.387241933479,-332.274310240952,481.167671249628
2021-04-11,20,74.2808141996821,-191.86227754703,340.423905946394,-332.749919937048,481.311548336412
2021-04-12,25,74.1213263097896,-192.216967143981,340.459619763561,-333.207943075808,481.450595695387
2021-04-13,14,73.9681953356333,-192.55828631122,340.494676982487,-333.648883054825,481.585273726092
2021-04-14,27,73.8213954133334,-192.886564010856,340.529354837523,-334.07322928672,481.716020113387
2021-04-15,16,73.6808965207444,-193.202121742122,340.563914783611,-334.481457569376,481.843250610865
2021-04-16,34,73.5466646791355,-193.505273705286,340.598603063557,-334.874030443381,481.967359801652
2021-04-17,39,73.4186621476919,-193.796326961746,340.63365125713,-335.25139753984,482.088721835224
2021-04-18,23,73.2968476120866,-194.075581589648,340.669276813821,-335.613995918186,482.20769114236
2021-04-19,20,73.1811763679434,-194.343330834651,340.705683570538,-335.962250393891,482.324603129778
2021-04-20,14,73.0716004973395,-194.599861258207,340.743062252886,-336.296573858656,482.439774853335
2021-04-21,15,72.9680690399327,-194.845452882136,340.781590962002,-336.617367592126,482.553505671991
2021-04-22,24,72.8705281592365,-195.0803793294,340.821435647873,-336.925021565191,482.666077883664
2021-04-23,39,72.7789213024809,-195.304907962941,340.862750567903,-337.219914736962,482.777757341924
2021-04-24,23,72.6931893561251,-195.519300020886,340.905678733136,-337.502415343855,482.888794056105
2021-04-25,40,72.6132707955635,-195.723810749825,340.950352340952,-337.772881182686,482.999422773812
2021-04-26,45,72.5391018303988,-195.918689535095,340.996893195893,-338.031659886816,483.109863547613
2021-04-27,12,72.4706165442825,-196.104180029295,341.04541311786,-338.279089196734,483.220322285299
2021-04-28,23,72.407747030387,-196.280520278211,341.096014338985,-338.515497224349,483.330991285123
2021-04-29,35,72.350423522204,-196.447942844654,341.148789889062,-338.741202711629,483.442049756037
2021-04-30,24,72.2985745195348,-196.606674930555,341.203823969625,-338.956515284023,483.553664323093
2021-05-01,34,72.252126910588,-196.756938496578,341.261192317754,-339.16173569803,483.665989519206
2021-05-02,39,72.2110060895826,-196.898950380015,341.320962559181,-339.357156083754,483.779168262919
2021-05-03,17,72.1751360698195,-197.032922411167,341.383194550806,-339.543060182755,483.893332322394
2021-05-04,17,72.1444395937122,-197.159061526865,341.44794071429,-339.719723579911,484.008602767336
2021-05-05,16,72.1188382377974,-197.277569883247,341.515246358841,-339.887413931479,484.125090407074
2021-05-06,18,72.0982525147643,-197.388644965872,341.5851499954,-340.04639118752,484.242896217049
2021-05-07,25,72.0826019710254,-197.492479698797,341.657683640848,-340.19690781036,484.362111752411
2021-05-08,20,72.0718052816896,-197.58926255084,341.73287311422,-340.339208987387,484.482819550766
2021-05-09,28,72.0657803408503,-197.679177641251,341.810738322952,-340.47353284045,484.60509352215
2021-05-10,19,72.0644443495769,-197.76240484249,341.891293541644,-340.600110629632,484.728999328786
2021-05-11,25,72.0677138998381,-197.839119881997,341.974547681673,-340.719166953319,484.854594752995
2021-05-12,16,72.0755050555187,-197.909494441883,342.060504552921,-340.830919943543,484.981930054581
2021-05-13,34,72.0877334304318,-197.973696256729,342.149163117592,-340.935581456861,485.111048317725
2021-05-14,52,72.1043142629598,-198.031889209951,342.24051773587,-341.033357261239,485.241985787159
