"Date","forecast_US_economic","forecast_US_economic_low_80","forecast_US_economic_high_80","forecast_US_economic_low_95","forecast_US_economic_high_95"
2021-08-01,71.7474153962327,57.5458030045813,85.949027787884,50.0279235252943,93.4669072671711
2021-08-02,72.146948169011,57.859235690409,86.4346606476129,50.2957775782879,93.9981187597341
2021-08-03,72.54106299928,58.1705329422738,86.9115930562862,50.5632338523792,94.5188921461808
2021-08-04,72.929688202159,58.4795502818498,87.3798261224682,50.8301093347202,95.0292670695978
2021-08-05,73.3127611240181,58.7861472398081,87.839375008228,51.0962223628392,95.5292998851969
2021-08-06,73.6902277488091,59.0901876210114,88.2902678766067,51.3613932386169,96.0190622590012
2021-08-07,74.062042315098,59.3915397358732,88.7325448943228,51.6254447848507,96.4986398453453
2021-08-08,74.4281669437016,59.6900766002553,89.1662572871479,51.8882028480884,96.9681310393149
2021-08-09,74.7885712758151,59.9856761061583,89.5914664454718,52.1494967512407,97.4276458003894
2021-08-10,75.1432321215154,60.2782211653502,90.0082430776805,52.4091596993136,97.8773045437172
2021-08-11,75.492133118512,60.5675998279495,90.4166664090746,52.6670291414113,98.3172370956127
2021-08-12,75.835264401011,60.8537053778574,90.8168234241646,52.9229470919809,98.7475817100411
2021-08-13,76.1726222785534,61.1364364068157,91.2088081502911,53.1767604140858,99.1684841430211
2021-08-14,76.5042089246808,61.4156968687427,91.5927209806189,53.4283210673164,99.5800967820452
2021-08-15,76.8300320752778,61.691396115892,91.9686680346635,53.677486322778,99.9825778277775
2021-08-16,77.1501047364355,61.963448918266,92.3367605546049,53.9241189474291,100.376090525442
2021-08-17,77.4644449016762,62.2317754676165,92.6971143357359,54.1680873598913,100.760802443461
2021-08-18,77.773075278374,62.496301367262,93.049849189486,54.4092657597015,101.136884797046
2021-08-19,78.0760230232087,62.7569576088733,93.395088437544,54.6475342318495,101.504511814568
2021-08-20,78.3733194864811,63.0136805372802,93.732958435682,54.8827788283067,101.863860144655
2021-08-21,78.6649999651183,63.2664118042835,94.0635881259531,55.1148916281388,102.215108302098
2021-08-22,78.9511034641979,63.5150983123838,94.387108616012,55.3437707776869,102.558436150709
2021-08-23,79.231672466815,63.7596921492682,94.7036527843619,55.5693205121998,102.89402442143
2021-08-24,79.5067527121184,64.0001505138393,95.0133549103975,55.7914511602053,103.222054264032
2021-08-25,79.7763929813376,64.2364356345142,95.316350328161,56.0100791318287,103.542706830846
2021-08-26,80.0406448916241,64.4685146804656,95.6127751027827,56.2251268921834,103.856162891065
2021-08-27,80.2995626975335,64.6963596664428,95.9027657286242,56.4365229208951,104.162602474172
2021-08-28,80.5532030999669,64.9199473517545,96.1864588481792,56.6442016587497,104.462204541184
2021-08-29,80.8016250623989,65.1392591339666,96.4639909908311,56.8481034424012,104.755146682396
2021-08-30,81.044889634215,65.3542809378312,96.7354983305989,57.048174428023,105.041604840407
2021-08-31,81.2830597809841,65.5650030999305,97.0011164620377,57.2443665047345,105.321753057234
2021-09-01,81.5162002214902,65.7714202494937,97.2609801934867,57.4366371985954,105.595763244385
2021-09-02,81.7443772713548,65.9735311858183,97.5152233568913,57.6249495679206,105.863804974789
2021-09-03,81.9676586930735,66.1713387527034,97.7639786334437,57.8092720906268,106.12604529552
2021-09-04,82.1861135523005,66.3648497102841,98.0073773943169,57.9895785442998,106.382648560301
